WorkNumber,BarrelBatch,MixingTime1,MixingTime2,MixingTime3,TempSet,SandDischatge_Tem,Packaging_Temp,SandWeight_E,SandWeight_L,SandWeight_E,SandWeight_4C,SandWeight_5V,SandWeight_6C,SandWeight_9R,SandWeight_4V,SandWeight_5C,SandWeight_6V,SandWeight_S5,SandWeight_4R,SandWeight_6R,SandWeight_9V,Resin_RA,Resin_PR877,Resin_K2032,Resin_PR853,Resin_RM893,Resin_RB,Resin_RN815,Resin_KL130,Resin_KL1430L,Resin_KL2031,Resin_Liquid,Hardener_30,Hardener_40,Water,Weight_Calcium,Weight_RedIron,Aumosphere_Temp,Atmosphere_humidty,GrainSize,AFS,UnityPoint,FallingTest,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000047946 ,1,50,60,20,130,79,37,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,210.5,140.0,0.0,0.0,91.5,0.0,0.00,0.00,0.00,0.00,0.00,4.62,0.00,2.34,0.00,4.54,0.00,5.01,0.00,3.33,0.498,0.00,27.8,53.7,62.2,61.25,98,227,
110000047946 ,2,50,60,20,130,81,36,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,210.0,138.5,0.0,0.0,97.5,0.0,0.00,0.00,0.00,0.00,0.00,4.65,0.00,2.34,0.00,4.64,0.00,5.05,0.00,3.48,0.501,0.00,27.7,53.6,64.6,58.13,98,232,
110000047946 ,10,50,60,20,130,82,36,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,207.5,140.0,0.0,0.0,96.5,0.0,0.00,0.00,0.00,0.00,0.00,4.63,0.00,2.27,0.00,4.60,0.00,4.98,0.00,3.43,0.493,0.00,27.8,53.1,61.3,61.27,98,228,
110000047946 ,25,50,60,20,130,83,36,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,206.0,145.5,0.0,0.0,89.5,0.0,0.00,0.00,0.00,0.00,0.00,4.62,0.00,2.30,0.00,4.50,0.00,4.99,0.00,3.35,0.501,0.00,27.1,54.4,62.8,61.2,98,235,
110000048135 ,1,50,60,20,133,77,36,0.0,0.0,0.0,0.0,0.0,124.5,0.0,0.0,0.0,138.5,0.0,98.0,138.5,0.0,0.00,0.00,0.00,0.00,0.00,7.01,0.00,2.35,0.00,2.37,0.00,5.07,0.00,3.45,0.503,0.00,24.7,47.7,61.3,64.43,97,235,
110000048135 ,5,50,60,20,133,80,35,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,142.0,0.0,61.5,171.0,0.0,0.00,0.00,0.00,0.00,0.00,7.05,0.00,2.35,0.00,2.37,0.00,5.10,0.00,3.42,0.542,0.00,24.7,47,63.7,59.4,97,239,
110000048281 ,1,50,60,20,130,77,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,90.0,98.0,0.0,139.5,0.0,0.00,0.00,0.00,0.00,0.00,7.01,0.00,2.34,0.00,2.36,0.00,5.09,0.00,3.25,0.533,0.00,26.2,55.8,64,66.98,98,202,
110000048281 ,4,50,60,20,130,78,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.5,98.5,86.5,0.0,147.5,0.0,0.00,0.00,0.00,0.00,0.00,7.10,0.00,2.32,0.00,2.37,0.00,5.12,0.00,3.46,0.510,0.00,26.1,55.8,63,62.63,98,233,
110000048359 ,1,50,60,20,130,80,38,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,165.5,94.5,0.0,0.0,138.0,0.0,0.00,0.00,0.00,0.00,0.00,7.08,0.00,2.33,0.00,2.35,0.00,5.10,0.00,3.00,0.521,0.00,27.6,55.5,62.6,62.48,98,229,
110000048359 ,4,50,60,20,130,82,38,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,166.0,93.0,0.0,0.0,132.5,0.0,0.00,0.00,0.00,0.00,0.00,7.03,0.00,2.33,0.00,2.31,0.00,5.06,0.00,3.03,0.516,0.00,27.6,55.3,63,59.18,98,225,
110000048359 ,10,50,60,20,130,82,38,0.0,0.0,0.0,0.0,98.5,0.0,0.0,0.0,164.5,96.5,0.0,0.0,139.5,0.0,0.00,0.00,0.00,0.00,0.00,7.08,0.00,2.40,0.00,2.31,0.00,5.12,0.00,3.02,0.536,0.00,27.8,54.8,66,61.65,98,228,
110000048718 ,1,50,60,20,138,77,29,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,143.5,52.0,56.0,124.5,0.0,0.00,0.00,0.00,0.00,0.00,6.80,0.00,2.29,0.00,2.24,0.00,5.08,0.00,3.33,0.506,0.00,22.4,44.3,65.7,86.25,98,247,
110000048718 ,4,50,60,20,138,82,31,0.0,0.0,0.0,0.0,0.0,120.5,0.0,0.0,0.0,138.5,0.0,77.5,159.5,0.0,0.00,0.00,0.00,0.00,0.00,6.80,0.00,2.23,0.00,2.22,0.00,5.07,0.00,3.38,0.515,0.00,22.6,44.1,66.2,70.8,98,250,
110000048718 ,16,50,60,20,138,84,39,0.0,0.0,0.0,0.0,0.0,125.5,0.0,0.0,0.0,136.0,0.0,70.5,168.5,0.0,0.00,0.00,0.00,0.00,0.00,6.64,0.00,2.26,0.00,2.18,0.00,5.01,0.00,3.34,0.520,0.00,22.9,43.8,64.9,65.03,98,239,
110000048718 ,21,50,60,20,138,84,39,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,145.0,0.0,68.5,168.0,0.0,0.00,0.00,0.00,0.00,0.00,6.64,0.00,2.26,0.00,2.16,0.00,4.99,0.00,3.32,0.500,0.00,22.8,41.7,65.3,65.33,98,239,
110000048831 ,1,50,60,20,135,78,37,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,144.0,0.0,95.0,91.0,0.0,0.00,0.00,0.00,0.00,0.00,6.69,0.00,2.21,0.00,2.25,0.00,5.02,0.00,3.32,0.500,0.00,24.4,52.5,59,65.63,99,238,
110000048831 ,4,50,60,20,135,83,40,0.0,0.0,0.0,0.0,0.0,166.5,0.0,0.0,0.0,139.5,0.0,98.0,93.0,0.0,0.00,0.00,0.00,0.00,0.00,6.78,0.00,2.27,0.00,2.26,0.00,5.07,0.00,3.43,0.500,0.00,24.5,52.1,63.9,69.15,99,246,
110000048943 ,1,50,60,15,135,80,37,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,170.5,0.0,90.0,55.5,0.0,0.00,0.00,0.00,0.00,0.00,6.82,0.00,2.27,0.00,2.30,0.00,5.12,0.00,3.06,0.532,0.00,25.1,57.4,63.5,63.15,99,234,
110000048943 ,4,50,60,15,135,82,37,0.0,0.0,0.0,0.0,0.0,188.5,0.0,0.0,0.0,166.0,0.0,97.0,46.5,0.0,0.00,0.00,0.00,0.00,0.00,6.75,0.00,2.25,0.00,2.28,0.00,5.07,0.00,3.41,0.507,0.00,25.3,56.3,65.8,56.85,99,227,
110000048943 ,20,50,60,15,135,84,38,0.0,0.0,0.0,0.0,0.0,187.5,0.0,0.0,0.0,165.5,0.0,99.0,47.0,0.0,0.00,0.00,0.00,0.00,0.00,6.83,0.00,2.20,0.00,2.31,0.00,5.09,0.00,3.32,0.521,0.00,25.1,55.2,64.4,60.08,99,231,
110000049651 ,2,50,60,15,136,80,36,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,144.0,0.0,116.0,123.5,0.0,0.00,0.00,0.00,0.00,0.00,6.79,0.00,2.27,0.00,2.24,0.00,4.90,0.00,3.53,0.500,0.00,24.8,49.5,61.3,61.65,98,215,
110000049651 ,5,50,60,15,136,81,36,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,142.0,0.0,125.5,112.5,0.0,0.00,0.00,0.00,0.00,0.00,6.74,0.00,2.21,0.00,2.24,0.00,4.87,0.00,3.45,0.501,0.00,24.8,48.7,62.1,58.13,98,223,
110000049719 ,1,50,60,15,138,81,38,0.0,0.0,0.0,0.0,111.5,0.0,0.0,0.0,0.0,155.5,85.5,0.0,141.5,0.0,0.00,0.00,0.00,0.00,0.00,6.63,0.00,2.16,0.00,2.14,0.00,6.28,0.00,2.40,0.497,0.00,20.4,38.3,65.3,60.6,98,221,
110000049719 ,4,50,60,15,138,83,41,0.0,0.0,0.0,0.0,106.5,0.0,0.0,0.0,0.0,154.0,95.0,0.0,137.0,0.0,0.00,0.00,0.00,0.00,0.00,6.58,0.00,2.19,0.00,2.13,0.00,4.95,0.00,3.29,0.491,0.00,20.7,38.7,64.3,57.68,98,226,
110000049929 ,1,50,60,15,138,78,38,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,150.0,0.0,94.0,139.5,0.0,0.00,0.00,0.00,0.00,0.00,6.77,0.00,2.30,0.00,2.23,0.00,5.10,0.00,3.33,0.501,0.00,23.5,59.9,68,61.35,97,211,
110000049929 ,4,50,60,15,138,82,41,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,146.0,0.0,93.5,139.0,0.0,0.00,0.00,0.00,0.00,0.00,6.81,0.00,2.23,0.00,2.24,0.00,5.06,0.00,3.36,0.490,0.00,23.3,60.2,68.2,58.05,97,223,
110000050119 ,1,50,60,15,138,82,31,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,157.0,96.5,0.0,0.0,93.5,0.0,0.00,0.00,0.00,0.00,0.00,6.87,0.00,2.31,0.00,2.25,0.00,4.99,0.00,3.22,0.480,0.00,20.1,47.3,63.9,61.13,98,215,
110000050119 ,4,50,60,15,138,84,32,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,156.0,102.0,0.0,0.0,90.5,0.0,0.00,0.00,0.00,0.00,0.00,6.91,0.00,2.36,0.00,2.28,0.00,5.08,0.00,3.24,0.497,0.00,20,47.1,62.6,59.17,98,223,
110000050265 ,1,50,60,15,138,75,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,97.0,141.0,0.0,89.0,0.0,0.00,0.00,0.00,0.00,0.00,6.73,0.00,2.24,0.00,2.28,0.00,4.89,0.00,3.31,0.486,0.00,21.6,58.7,64,60.07,99,222,
110000050265 ,4,50,60,15,138,80,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5,95.5,139.5,0.0,98.0,0.0,0.00,0.00,0.00,0.00,0.00,6.87,0.00,2.25,0.00,2.25,0.00,4.98,0.00,3.38,0.495,0.00,21.5,58.5,64.8,58.5,99,225,
110000050505 ,1,50,60,15,135,78,39,0.0,0.0,0.0,0.0,108.0,101.5,0.0,0.0,0.0,100.5,0.0,95.5,90.5,0.0,0.00,0.00,0.00,0.00,0.00,6.60,0.00,2.14,0.00,2.24,0.00,4.73,0.00,3.37,0.501,0.00,19.9,43.6,63.8,66.98,98,248,
110000050505 ,4,50,60,15,135,81,39,0.0,0.0,0.0,0.0,104.5,104.0,0.0,0.0,0.0,104.5,0.0,97.0,91.5,0.0,0.00,0.00,0.00,0.00,0.00,6.69,0.00,2.27,0.00,2.20,0.00,4.85,0.00,3.42,0.490,0.00,19.4,43.6,64.5,61.95,98,249,
110000050505 ,18,50,60,15,135,81,40,0.0,0.0,0.0,0.0,108.0,104.0,0.0,0.0,0.0,103.0,0.0,86.0,98.5,0.0,0.00,0.00,0.00,0.00,0.00,6.71,0.00,2.24,0.00,2.20,0.00,4.84,0.00,3.39,0.518,0.00,20,43.5,62.7,66.23,98,246,
110000050565 ,1,50,60,15,138,81,40,0.0,0.0,0.0,0.0,146.5,0.0,0.0,0.0,164.5,94.0,0.0,0.0,90.0,0.0,0.00,0.00,0.00,0.00,0.00,6.93,0.00,2.37,0.00,2.20,0.00,5.01,0.00,3.31,0.481,0.00,22.4,50,64.8,60.9,98,221,
110000050565 ,4,50,60,15,138,82,42,0.0,0.0,0.0,0.0,145.5,0.0,0.0,0.0,164.0,94.5,0.0,0.0,89.5,0.0,0.00,0.00,0.00,0.00,0.00,7.01,0.00,2.34,0.00,2.30,0.00,5.05,0.00,3.33,0.523,0.00,22.2,49.7,65.1,59.02,98,216,
110000050643 ,1,50,60,15,135,78,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.5,143.0,190.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.92,0.00,2.31,0.00,2.27,0.00,4.99,0.00,2.80,0.586,0.00,21.6,62.1,61.3,62.85,98,215,
110000050643 ,4,50,60,15,135,83,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5,147.0,181.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.87,0.00,2.28,0.00,2.29,0.00,4.98,0.00,3.23,0.575,0.00,21.4,62.8,61.7,59.7,98,222,
110000050728 ,1,50,60,15,135,74,36,0.0,0.0,0.0,0.0,105.5,0.0,0.0,0.0,155.0,144.5,0.0,0.0,95.0,0.0,0.00,0.00,0.00,0.00,0.00,7.02,0.00,2.30,0.00,2.35,0.00,5.07,0.00,3.30,0.583,0.00,22,58.4,62.9,62.33,98,217,
110000050728 ,4,50,60,15,135,79,35,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,162.5,134.5,0.0,0.0,93.5,0.0,0.00,0.00,0.00,0.00,0.00,6.96,0.00,2.38,0.00,2.27,0.00,5.02,0.00,3.33,0.593,0.00,21.8,59,64.8,59.25,98,222,
110000050728 ,11,50,60,15,135,80,35,0.0,0.0,0.0,0.0,103.5,0.0,0.0,0.0,161.5,137.0,0.0,0.0,92.0,0.0,0.00,0.00,0.00,0.00,0.00,7.00,0.00,2.34,0.00,2.26,0.00,5.04,0.00,3.33,0.606,0.00,21.5,58.5,64.3,62.77,98,215,
110000051000 ,1,50,60,15,130,76,43,0.0,0.0,0.0,0.0,147.5,157.5,0.0,0.0,0.0,0.0,0.0,96.5,93.0,0.0,0.00,0.00,0.00,0.00,0.00,6.63,0.00,2.22,0.00,2.23,0.00,4.80,0.00,2.99,0.492,0.00,21.8,59.9,59.4,63.45,96,229,
110000051000 ,4,50,60,15,130,80,42,0.0,0.0,0.0,0.0,146.0,160.5,0.0,0.0,0.0,0.0,0.0,101.0,94.5,0.0,0.00,0.00,0.00,0.00,0.00,6.78,0.00,2.28,0.00,2.28,0.00,4.89,0.00,2.97,0.512,0.00,21.9,59.7,59.2,60.53,96,222,
110000051000 ,15,50,60,15,130,80,42,0.0,0.0,0.0,0.0,146.0,162.0,0.0,0.0,0.0,0.0,0.0,97.0,92.5,0.0,0.00,0.00,0.00,0.00,0.00,6.72,0.00,2.24,0.00,2.24,0.00,4.84,0.00,2.98,0.513,0.00,22.1,59.6,59.7,62.93,97,224,
110000051131 ,1,50,60,15,130,75,35,0.0,0.0,0.0,0.0,0.0,129.5,0.0,0.0,93.0,91.5,86.5,0.0,102.5,0.0,0.00,0.00,0.00,0.00,0.00,7.53,0.00,2.46,0.00,2.49,0.00,5.62,0.00,2.60,0.503,0.00,21.2,52.6,67.9,60.9,99,228,
110000051452 ,1,50,60,15,130,78,34,0,0,0,0,237.5,167.5,0,0,0,0,0,0,92.5,0,0,0,0,0,0,6.99,0,2.34,0,2.3,0,5.04,0,3.33,0.55,0,19.6,47.3,65.4,61.65,98,214,
110000051452 ,4,50,60,15,130,83,33,0,0,0,0,238,158.5,0,0,0,0,0,0,92.5,0,0,0,0,0,0,6.85,0,2.32,0,2.28,0,5.03,0,3.22,0.531,0,19.6,46.9,66.9,57.6,98,226,
110000051647 ,1,50,60,15,130,76,43,0.0,0.0,0.0,0.0,122.0,108.5,0.0,0.0,0.0,128.0,134.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.34,0.00,2.07,0.00,2.10,0.00,4.57,0.00,3.56,0.508,0.00,20.4,48.7,68.6,57.98,99,244,
110000051647 ,8,50,60,15,130,79,48,0.0,0.0,0.0,0.0,123.0,104.5,0.0,0.0,0.0,134.5,136.5,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6.65,0.00,2.20,0.00,2.22,0.00,4.80,0.00,3.45,0.530,0.00,20.2,49.8,67.1,60.3,98,242,
110000051847 ,1,50,60,15,132,76,38,0,0,0,0,139,0,0,0,177,198.5,0,0,0,0,0,0,0,0,0,7.39,0,2.47,0,2.38,0,5.34,0,2.94,0.513,0,19,62.1,61,65.18,96,203,
110000051847 ,4,50,60,15,132,81,44,0,0,0,0,131.5,0,0,0,178.5,190,0,0,0,0,0,0,0,0,0,7.18,0,2.41,0,2.37,0,5.23,0,2.84,0.507,0,19.1,61.6,58.6,61.5,97,226,
110000051847 ,15,50,60,15,132,82,44,0,0,0,0,132,0,0,0,176,189,0,0,0,0,0,0,0,0,0,7.09,0,2.43,0,2.34,0,5.2,0,2.83,0.501,0,19.3,60.6,79.3,64.73,96,226,
110000052139 ,1,50,60,15,128,75,37,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,112.5,96.0,94.0,0.0,97.5,0.0,0.00,0.00,0.00,0.00,0.00,7.02,0.00,2.35,0.00,2.36,0.00,5.08,0.00,3.34,0.516,0.00,22.4,58.8,60.7,62.03,98,217,
110000052139 ,4,50,60,15,128,78,38,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,112.0,92.0,98.5,0.0,88.5,0.0,0.00,0.00,0.00,0.00,0.00,7.01,0.00,2.35,0.00,2.37,0.00,5.06,0.00,3.33,0.523,0.00,23.1,58.8,60.9,64.65,96,215,
110000052139 ,15,50,60,15,128,78,38,0.0,0.0,0.0,0.0,103.5,0.0,0.0,0.0,115.5,94.0,95.0,0.0,93.0,0.0,0.00,0.00,0.00,0.00,0.00,7.11,0.00,2.32,0.00,2.34,0.00,5.10,0.00,3.35,0.492,0.00,23,59,61.9,66.75,98,198,
